Name,Type,Status,Repo,Languages,Topics,Boards,Description,Link,Include,Image
/IOTCONNECT Core C Library,library,stable,iotc-c-lib,C,"telemetry, commands",,The core C library forming the foundation for /IOTCONNECT in C.,https://github.com/avnet-iotconnect/iotc-c-lib,yes,assets/tech/c.svg
/IOTCONNECT Python Library,library,stable,iotc-python-lib,Python,"telemetry, commands",,Core Python library for /IOTCONNECT integrations.,https://github.com/avnet-iotconnect/iotc-python-lib,yes,assets/tech/python.svg
/IOTCONNECT C SDK for Azure RTOS,sdk,stable,iotc-azurertos-sdk,C,"telemetry, commands, ota, twin","B-U585I-IOT02A, B-L475E-IOT01A2, MIMXRT1060-EVKB, EV36W50A, CK-RK65N, ATSAME54-XPRO, AES-MC-SBC-IMXRT1176-G","C SDK and samples for Azure RTOS devices across ST, NXP, Microchip and Renesas eval boards.",https://github.com/avnet-iotconnect/iotc-azurertos-sdk,yes,
/IOTCONNECT DA16K SDK,sdk,stable,iotc-dialog-da16k-sdk,C,"telemetry, commands","US159-DA16600EVZ, US159-DA16200MEVZ, DA16200MOD-DEVKT, DA16600MOD-DEVKT",SDK for Renesas DA16200/DA16600 Wi-Fi modules.,https://github.com/avnet-iotconnect/iotc-dialog-da16k-sdk,yes,
/IOTCONNECT ModusToolbox SDK,sdk,stable,avnet-iotc-mtb-sdk,C,"telemetry, commands, ota","CY8CKIT-062-WIFI-BT, CY8CPROTO-062-4343W, CY8CKIT-062S2-AI",ModusToolbox SDK for /IOTCONNECT on Infineon PSoC devices.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-sdk,yes,
/IOTCONNECT Python Lite SDK,sdk,stable,iotc-python-lite-sdk,Python,"telemetry, commands, ota","FRDM-IMX93, STM32MP135F-DK, ATSAMA5D27-SOM1-EK1",Full-featured Python SDK for /IOTCONNECT on embedded Linux.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk,yes,
Agrisense with AVR_IOT,sample,beta,,C,"cellular, sensors, telemetry, agriculture",EV70N78A,"Hackster guide for getting started with the AVR IoT Cellular Mini. It walks through setting up the board, activating the SIM, collecting sensor data and connecting to IOTCONNECT via the provided C SDK. The demo monitors temperature, light and button presses and sends telemetry to the cloud.",https://www.youtube.com/watch?v=OFP0efBtGyg,yes,
Astra Asset Tracker,sample,beta,iotc-lora-demos,C,"lora, telemetry, asset-tracking, sensors",STEVAL-ASTRA1B,"Guide for onboarding LoRaWAN devices to IOTCONNECT. It walks through creating templates and configuring device attributes such as temperature, pressure, humidity and accelerometer for ST ASTRA1B and NUCLEO-WL55JC boards, creating LoRaWAN devices in the portal and sending telemetry and commands.",https://github.com/avnet-iotconnect/iotc-lora-demos/blob/master/docs/iotc-lora-device-onboard.md,yes,
AVR-IOT mini Cellular,sample,beta,iotc-arduino-mchp-avr-sdk,C++,cellular,EV70N78A,IOTCONNECT C SDK example for the AVR IoT Cellular Mini board. The application records button presses and collects on‑board sensor readings (temperature and RGB light) and sends telemetry to IOTCONNECT. It also supports simple commands to control LEDs and guides you through provisioning the board and activating the cellular modem.,https://github.com/avnet-iotconnect/iotc-arduino-mchp-avr-sdk,yes,
Drone,sample,beta,,C++,"agriculture, uavoperations, drone",,Drone demo for /IOTCONNECT.,https://aws.amazon.com/marketplace/pp/prodview-cskaj6vsde6xu,yes,assets/listings/drone.png
Edge AI Inference Pipeline (Jetson Orin NX),sample,beta,iotc-jetson-demo,Python,"edge-ai, vision, npu","J4021, SEEED-j2021",This demo performs compute-intensive AI inference on the edge and sends the processed results to the cloud. IoTConnect then visualizes the inference output and system performance in real time.,https://github.com/avnet-iotconnect/iotc-jetson-demo,yes,
Edge AI Inference Pipeline (Jetson Orin NX),sample,beta,iotc-jetson-demo,Python,"edge-ai, vision, npu",ICAM-540-30W,This demo performs compute-intensive AI inference on the edge and sends the processed results to the cloud. IoTConnect then visualizes the inference output and system performance in real time.,https://github.com/avnet-iotconnect/iotc-jetson-demo,yes,
